,IFI27,RPL5,ZBP1,IFITM1,EPSTI1,EBI2,FCER1A,GADD45A,TNFSF13B,IFIT2,OSBPL10,SCRN1,TNFAIP6
GSM2159829,6.9806137321423645,13.179232823701485,9.935570686081235,12.050710506347489,10.92457648789049,11.062867184801526,11.657499780038652,7.9710093781908276,10.499658065384615,9.924251049447003,8.718141368843527,8.783323720179808,7.176550812616487
GSM2159830,7.530027811667688,13.22164300347031,9.812522451881836,12.601708818033028,10.439191968264163,10.536673693531977,10.764840083258965,8.07697179836006,10.001242757288253,9.873563768186635,8.195058656320203,8.887402502405513,7.098505026709637
GSM2159831,6.912593583365376,13.084795103258475,9.881406447770534,12.166861346290661,10.153206199439321,10.737932866772933,12.965402821733798,8.017814486349966,10.894519128740537,9.248679037716355,8.41384452855873,8.463196971045315,7.069486612641479
GSM2159832,7.181362991757084,13.030894694477043,9.596822986373025,12.306577822095358,10.782293064754978,10.616501163023525,11.574200398507635,8.226437690748885,10.991794071180266,9.827159755409916,8.22516404696648,8.819352048452403,7.247746692925403
GSM2159833,7.827859663341872,13.107554166439884,10.039420828221736,12.558281985921965,10.45500041903222,10.518472438166626,11.574200398507635,8.151501003574,10.321621167643666,9.442312386032114,8.408346301410118,8.658059348966527,7.125088856630141
GSM2159834,7.111924371391336,13.129162089558296,9.814620275075425,12.894294843141678,10.475758758957566,10.307724234055701,11.807851970457643,8.458447703857964,11.219033578437791,10.747043268325646,8.631641626940901,8.783550945072399,7.833446626721081
GSM2159835,6.906640506793107,13.168400725555758,10.035016244418665,12.39470223069815,10.055820633908606,10.677054269431242,11.62681463755345,8.013534472495401,10.761002295778479,9.73449133682268,8.370677817865714,8.684832409996842,7.232686436697266
GSM2159836,12.07105269163173,12.910243779502752,10.723108843695952,12.89741817958536,11.18452082273633,10.516062867878711,10.997760253465406,8.986866249990731,10.787184285849452,9.96180547671406,8.678042670517513,8.522338282761423,7.423536309206206
GSM2159837,8.66247719018223,13.206949171627217,8.970689467130526,12.389890495635807,11.363991254064748,9.816507623729246,10.29933625224727,8.580342120987863,11.534184828768506,10.819834206481609,9.304508760218066,9.257120966574544,7.468427342123601
GSM2159838,7.333412104812047,13.708348919601077,8.362232722314745,12.584613290569134,9.970314440623564,10.157541747064057,9.75786299577854,9.19522970205643,10.347744462447393,9.434617178051466,8.60695109406358,9.378861417052379,7.184922608617519
GSM2159839,6.964474877684141,13.100691080935668,9.505372129808492,12.235659156714439,9.986759335890508,9.844133141571067,11.216365736781889,8.097155317800446,10.726222662012628,9.208100448561893,8.040289721025717,8.828909840753814,7.128906155676121
GSM2159840,7.117574536035088,12.967942924405373,9.38777997479338,11.825771717421526,10.058909017606945,9.507189105652355,10.206983806000332,8.71456526546381,11.357000951551743,9.200064616224735,7.772886589312466,8.504921054944614,7.4219430212634405
GSM2159841,6.942293978999653,12.973983939864606,9.428533955689117,12.004096841582884,10.912412599409377,10.473283791624743,11.979736352309338,8.369540058497488,11.52345693513631,11.567684237697607,8.23415016506634,9.04694199561824,8.136027098373523
GSM2159842,7.005076557833325,13.175576059056397,9.368380520301464,12.172360310496078,10.300346839876589,10.241660116414959,11.893761117583695,8.08640758963239,11.017034399954914,9.685413894757176,8.630619154277323,8.805307935078192,7.335808806685909
GSM2159843,7.264941709824167,12.99116750614001,9.28517909251999,12.039101714520807,11.063138204771215,10.215319361671188,12.002483129453333,7.898156239412808,11.285255791454109,10.736258162046576,8.575755918442281,9.099976567416567,7.201993989908649
GSM2159844,7.0838047945302955,13.263519214545134,9.724362754450434,12.037406932996094,11.136565031316012,10.269291819112581,11.368598127569342,8.033350186403148,11.49198394243734,11.02702062325236,8.54095795504208,9.07572808984106,7.402159414512191
GSM2159845,7.2947190693434045,13.110924011607572,9.697257079095571,12.376091736854894,11.125013025062914,10.627705306760875,10.707160661576077,8.214684951168875,11.046030037219037,10.988603035874197,8.298468161251806,9.269533943339177,7.449931995800725
GSM2159846,8.55154485586006,12.856426695854056,10.115560013948127,12.707513359326544,11.377730024007597,8.830072222315904,10.605037752399928,8.275847200045007,11.423007645554755,10.79259022237915,8.137041336468515,9.292684676876164,7.149637873890413
GSM2159847,7.050895620431026,13.027560655026615,9.06723320304444,12.125835109786436,10.11325250413852,10.100196122514914,11.70021471299789,8.434594742531523,10.992166119075376,10.05657269077277,8.810411612029174,9.126909119717403,7.69545771661986
