,IFI27,RPL5,ZBP1,IFITM1,EPSTI1,EBI2,FCER1A,GADD45A,TNFSF13B,IFIT2,OSBPL10,SCRN1,TNFAIP6
GSM1595153,13.7615907,11.099835,11.1022513,13.0814745,12.0832769,7.261423485,7.68633664,8.086004505,12.06444605,13.3815132,5.04403078,5.74489329,7.020880895
GSM1595154,13.0108281,12.0673863,9.27871962,12.3342845,11.0776856,8.838170725,9.5333017,6.1337029350000005,10.435942650000001,11.8492686,6.78913974,6.39935432,6.011381555
GSM1595155,13.5679074,11.0192536,11.0367245,13.05086,11.6029591,7.12456404,8.01483953,6.63949113,10.95908765,12.5126002,4.59357906,6.33831262,6.751580545
GSM1595156,13.5489158,11.783901,10.3876167,12.6676057,11.6462815,8.478364580000001,8.50245234,7.603729275,11.24915945,12.5569376,5.26596228,5.70443129,6.248618305
GSM1595157,13.2223794,12.0316581,8.8571565,12.392787,11.0224933,9.364943685,9.00429351,5.701494535,10.2477983,11.2417151,6.17574973,6.66045377,5.21936942
GSM1595158,13.4108515,11.5909089,10.7553641,13.1786463,12.3647229,7.139156595,8.58781876,7.41503702,11.826169449999998,13.3368928,4.67166645,5.89132002,6.826117745
GSM1595159,9.02970824,12.3702902,8.17445036,11.3443653,9.4122383,9.01060341,9.9633432,6.879911915,10.45752025,10.9391832,5.37080491,6.4986308,5.741917455
GSM1595160,13.4324532,11.6275831,10.0625589,12.5727762,11.7661889,7.975682995,9.40840363,6.8146487350000005,11.75208345,12.7853337,6.87241633,5.61648062,6.527015635
GSM1595161,11.9174922,10.9145466,10.2834912,13.1203515,11.7761431,7.37143382,6.18625194,7.147207549999999,11.62626865,13.1518476,4.59564449,5.24256935,6.851432095
GSM1595162,13.8975439,10.9790786,10.5644896,13.0286042,12.0658079,7.771232095,7.37898926,7.624494435000001,11.76822255,13.5545541,4.10912399,6.55365264,6.80484652
GSM1595163,13.88865,11.0759524,10.9375268,13.2650464,12.1611703,8.389051235,5.80661999,7.635741435,11.79749005,13.6343925,5.16909882,6.28711431,6.596088075000001
GSM1595164,14.313598,10.7655066,10.8971519,12.8987752,11.8640132,7.4260890150000005,9.10518043,6.722717285,11.4393497,13.5569155,4.56535224,4.86147753,6.49310599
GSM1595165,13.8401131,11.5617529,10.1406253,12.9221997,11.6720584,7.695703475,7.37605244,7.402496344999999,11.347085100000001,12.7321753,5.756109,6.28684161,6.366158765
GSM1595166,9.73818449,12.0855365,7.87396511,11.7265452,9.02053304,8.729366245000001,9.87510364,6.935388515,10.403485105,10.7341439,5.7122568,6.30686391,5.59334343
GSM1595167,13.699489,11.0680312,11.0844091,12.9326392,11.9092203,8.20654583,7.53723782,7.996836815,11.572822550000001,12.8560311,4.91200884,5.7640385,6.58543565
GSM1595168,6.32270063,11.2245763,8.52673005,11.7313059,7.62766301,6.96820303,9.14427228,7.173571975,10.139299365,11.5630327,3.32192809,5.97750387,6.0230306350000005
GSM1595169,14.1383694,10.5475549,11.2899249,13.6242152,12.4303979,7.07792695,7.07680064,6.974855725,12.0491317,13.7264821,3.32192809,5.3633316,6.59105306
GSM1595170,10.3551462,11.0052659,10.3979078,13.1462983,11.9197512,7.333399740000001,10.0465715,6.555377699999999,11.939287799999999,13.10729,3.32192809,6.58912483,6.476014955
GSM1595171,4.3733531,11.5693753,9.0839457,12.1611038,8.37158674,7.853478115,8.83913197,7.698319854999999,10.8207469,10.9470057,3.76700109,6.23363386,5.84273073
GSM1595172,9.23155193,10.8449003,9.02307456,12.5628174,10.5959148,6.448881775,8.79321377,6.96931647,10.8790984,10.8144126,3.32192809,5.02573003,6.264302995
GSM1595173,13.4854608,11.3958072,10.4099191,12.7651263,11.6050776,8.29994955,9.16175696,6.757148625,11.483467300000001,12.9822662,5.55737302,6.97658589,6.38184946
GSM1595174,12.0408548,11.202144,10.8138726,12.4280762,11.4209029,6.231738635,8.59990541,5.4770444000000005,11.604332450000001,12.3897182,3.32192809,6.34824747,6.744653045
GSM1595175,13.449484,11.3980639,10.6255764,13.0150022,11.980693,7.853581525000001,7.34623625,6.852802255,11.857942699999999,12.7881,6.00640799,6.44291315,6.905728495
GSM1595176,13.5178244,11.793906,10.4748578,12.8761852,11.590398,8.51278352,6.85927759,6.953372675,11.53390655,12.9857139,6.23801564,5.47299782,6.644884095
GSM1595177,8.40702085,10.5348291,10.5287413,13.4181913,11.7917937,6.36766758,7.12562941,8.566623265,12.255491899999999,13.3693056,4.37701197,5.37391091,7.188754395
GSM1595178,12.1127073,11.6579535,9.44043276,12.7688276,11.2583299,8.35786177,8.55553857,6.783610115,11.2872038,12.5443267,3.8696464,4.93229791,6.626113245
GSM1595179,9.2591025,11.5835835,8.47809735,11.6219836,9.48902003,9.194155290000001,10.2031192,6.993007410000001,10.43811315,10.8745795,6.32078918,6.79370474,5.870798585
GSM1595180,12.279507,10.7925146,11.1326045,13.6137031,12.3482061,5.85818595,7.23137672,6.780071705,12.00195515,13.5931577,3.32192809,5.96635594,7.2559105950000005
GSM1595181,10.8008336,11.6974276,10.5371087,12.6855751,11.9815869,8.48584207,9.33051695,6.908709615,11.893763400000001,13.2027126,5.77289042,6.82330609,6.856173195
GSM1595182,12.335507,11.3538151,9.63241837,12.5052975,11.1289848,7.87047544,8.10111373,7.372368925,11.478380999999999,12.3493108,5.03720517,5.23951757,6.6687321950000005
GSM1595183,13.2240624,10.9496298,11.1431504,13.4642841,12.264147,6.93512715,7.88335811,7.416558569999999,12.3560304,13.5342336,3.66862747,4.93641321,7.070944595
GSM1595184,10.5099472,11.5882752,10.4544813,12.8510162,11.4443461,8.513180859999999,8.72053978,7.0025098450000005,11.29306225,12.5875743,3.32192809,6.36138957,6.546052665
GSM1595185,13.5773309,11.5402995,10.3810951,13.3148594,11.9827765,9.449039595,8.2001669,6.290391404999999,11.465765099999999,12.7383104,6.32580823,6.41467407,6.32532428
GSM1595186,13.4389244,9.78520494,11.0627687,12.704714,11.7402408,6.41274328,7.50828206,6.481474685,11.7070053,13.4398205,5.19068281,6.03338776,6.550365655
GSM1595187,8.59986339,11.933972,8.18712093,11.86458,9.94271389,9.13173814,9.92147367,6.47597421,10.668676300000001,11.0070308,5.19740544,6.70323224,5.983440875
GSM1595188,4.0275398,11.9203897,8.37420095,12.0367722,7.83780767,7.876862545,8.96017603,6.735537174999999,10.9570624,10.5992778,4.40045596,5.76288401,5.5807571199999995
GSM1595189,13.1416451,11.6371447,9.40912847,12.6602201,11.4898204,8.202561995,8.50944883,6.68566106,11.4910159,12.5411264,6.33031745,6.30490561,6.177233655
GSM1595190,13.528647,11.8321859,9.5461463,12.3219256,11.5212834,8.778974264999999,7.97666035,6.896378015,11.1242945,12.0783073,7.08240987,6.75388929,6.292376515
GSM1595191,13.7592516,11.3421625,11.5863942,13.5212937,12.4133172,6.15307395,6.67441545,6.861919589999999,12.490075000000001,13.8405813,4.62502788,5.50872401,7.012288045
GSM1595192,5.73601978,11.8415632,7.91500573,11.394751,7.70935957,7.6895982400000005,9.65157502,7.054556145,10.64421625,10.8094554,3.66345962,6.29450331,6.020561415
GSM1595193,13.2868537,11.0155914,10.6907436,13.3819214,11.7875863,7.742797509999999,8.89461347,6.46638297,12.07560325,13.2946854,6.09587,6.15570937,6.635112325
GSM1595194,13.9045443,11.081339,10.8363218,13.6278963,11.9093257,7.49724701,6.66380998,6.790903739999999,11.33372985,13.2950686,6.35749711,7.09168926,6.58589059
GSM1595195,14.0444761,11.2305339,10.1396051,12.9692662,11.6751759,7.310728665,9.29354959,7.0498210199999995,11.481196350000001,13.2082292,3.98728266,5.78868649,6.3766827600000004
GSM1595196,9.00606655,11.6686612,8.09371756,11.9707113,8.55707574,8.03202014,8.03498049,7.688573959999999,10.67119055,10.7378946,5.92371873,6.12092627,6.383933005
GSM1595197,13.7473769,11.206153,10.1413574,13.1263955,11.7058039,8.065579775,8.32573539,7.2642839850000005,11.38288915,13.1482824,4.4216966,6.72284851,6.58905035
GSM1595198,13.8250164,11.487415,10.180716,12.9389468,11.3819928,9.21679026,8.23072563,7.08132567,11.0412693,12.1386782,5.36602,6.11932941,5.94167237
GSM1595199,8.53151247,12.0618946,8.48804738,12.1078016,10.0719463,8.073020535000001,8.22124199,6.365647685000001,10.45555455,11.3546114,6.25397622,6.08921889,5.71642856
GSM1595200,13.596481,10.969606,11.046343,13.5702494,12.0717855,7.31250701,7.31856721,7.945062365,12.5198488,13.7667049,3.32192809,5.78095518,6.872828245
GSM1595201,13.3843264,12.0083061,9.51952579,12.6362784,11.8247225,8.4480889,10.2183368,6.2478193,11.4825694,12.6108152,4.84952996,5.83489195,6.194424775
GSM1595202,13.9013346,10.8426607,10.8331115,13.2853102,11.5947379,6.147298115,4.90429719,7.351554139999999,11.915918699999999,13.2333776,5.15814108,6.80163853,6.868618395
GSM1595203,4.52916628,12.2775643,7.86404187,12.0799007,8.08020355,8.531510019999999,10.0985783,6.60583226,10.4478561,10.7236183,5.77141235,6.4518713,6.002278605
GSM1595204,9.82382116,11.4480791,9.82875073,12.9197417,11.4290212,6.288172525,7.19484548,8.46013326,11.9607283,12.3981962,3.32192809,6.0257411,6.60673789
GSM1595205,11.6459331,11.9048483,9.64463846,12.473724,10.9530171,7.623030549999999,8.00270308,7.13980229,11.28817205,12.0106533,4.60507113,6.15886736,6.905441945
GSM1595206,12.2397877,10.4566491,7.53829837,13.3260783,9.65172623,5.304861445,3.32192809,9.226974385,11.229954150000001,10.5662948,3.32192809,4.16158299,6.76305541
GSM1595207,14.2291996,11.310339,10.7981826,13.3670393,11.9930258,7.65412903,7.85691101,7.638096335,11.979218450000001,13.3997799,3.50686721,5.01497473,6.725620345
GSM1595208,13.9073226,11.2261894,10.3761319,13.2970137,12.5030977,6.8524440250000005,6.01975995,7.78407257,12.17435615,13.5876721,4.58490599,5.01620524,7.082465645
GSM1595209,13.2051871,12.1102435,9.76097603,12.2569862,11.3419363,8.69668508,9.31729208,6.18404477,11.3197318,12.8070252,4.5463148,6.30326256,6.171567725
GSM1595210,14.1761194,10.6304628,11.0644201,13.6209163,12.0992373,6.7249563949999995,8.89323296,7.67453106,12.4036449,13.4543057,3.94777087,5.50012962,6.788658945
GSM1595211,12.8198809,11.8030615,9.72476519,12.7113501,11.7420193,8.488979780000001,9.36238923,7.291277900000001,11.6532386,12.9382159,6.30253968,6.65515287,6.38190796
GSM1595212,12.7247362,12.0987858,9.66334818,12.2267358,11.5170695,8.61995507,9.59604268,6.79045965,11.23319965,12.4844425,3.32192809,6.41276273,6.10718491
GSM1595213,14.1315443,9.33639074,12.6269725,14.232247,12.9066655,4.966320885,7.4360852,7.07721622,12.587405350000001,14.3719141,3.32192809,4.63353932,7.637508995
GSM1595214,14.3711157,11.0538702,11.3154394,13.4655434,12.2284706,6.49283518,8.74638902,7.16179918,11.94134275,13.8282218,3.81911634,5.72972079,6.784960445
GSM1595215,13.6898222,11.5225065,10.406475,13.1359193,11.4511699,8.021101745,7.56408774,6.4637856849999995,11.104306900000001,12.6064219,6.39739073,6.11748166,6.47510196
GSM1595216,13.8230398,10.9810727,11.7114536,13.5710653,12.3027646,7.018228035,6.73510648,7.88993956,12.31241045,13.7057717,4.26451616,6.10857485,7.040603995
GSM1595217,13.5877892,11.0379738,10.8611141,12.9025875,11.6397386,7.60530801,7.31876603,7.871478265,11.24513765,13.03355,5.0232518,5.8830907,6.669923595
GSM1595218,13.0738942,11.3004201,10.9118713,12.7243755,11.9854691,8.76938035,8.34833999,7.421881985000001,11.42291825,13.0594219,4.95672672,6.0220031,6.665512635000001
GSM1595219,12.6965562,12.086739,8.92481161,12.3192956,10.8334064,8.15220661,9.41743694,6.011657205000001,10.6223876,12.196824,4.77190776,5.95746775,5.85878959
GSM1595220,5.94446751,11.9993405,9.10572626,11.8112872,10.5996888,8.08703092,9.22818208,6.454699915,10.8796718,11.6335838,6.46647899,7.15067746,6.051566025
GSM1595221,13.7814079,11.1561103,11.2615625,13.7098302,12.2202903,7.51740255,7.31749854,8.047048485,12.2497814,13.3948431,5.32790792,6.57615325,6.766950145
GSM1595222,14.0282333,10.1978556,11.4544062,13.721912,12.3569174,6.3115635999999995,7.40650606,7.35047376,12.7183296,13.8470407,3.32192809,5.15636547,6.961425995
